,movie_title,content_rating,genres,directors,authors,actors,original_release_date,runtime,production_company,tomatometer_rating,tomatometer_count,audience_rating,audience_count,meta_score,summary,combo_score,rating_diff
82,Edge of Winter,R,Drama,Rob Connolly,Rob Connolly,,8/12/2016,89,Independent Edge FIlms,50,22,33,460,50,"Recently divorced and laid off from his job, Elliot Baker (Joel Kinnaman) is desperate to spend more time bonding with his sons, Bradley (Tom Holland) and Caleb (Percy Hynes White). What starts as family day trip to teach his boys how to shoot turns into a nightmare when they become stranded. As they retreat to a desolate cabin, Elliot's mounting fear of losing custody pushes him to the edge. The brothers quickly realize that the man responsible for keeping them safe has now become their biggest threat.",50,-17
83,Elle,R,"Art House & International, Drama, Mystery & Suspense",Paul Verhoeven,David Birke,"Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling, Virginie Efira, Judith Magre, Christian Berkel, Jonas Bloquet, Alice Isaaz, Vimala Pons, Stephen Baker, Raphal Lenglet, Arthur Mazet, Lucas Prisor, Hugo Conzelmann, Hugues Martel, Anne Loiret, Nicolas Beaucaire, David Lotard, Loc Legendre, JeanNol Martin, Eric Savin, Olivia Gotanegre, Zohar Wexler, Raphael Kahn, Jina Djemba, Nicolas Ullmann, Florent Peiffer, Laurent Orry, Fleur Geffrier, Marie Berto, Caroline Breton, Jean Douchet, Oury Milshtein, Lahouassa Elise",11/11/2016,131,SBS Productions,91,237,73,11921,89,"Michle seems indestructible. Head of a successful video game company, she brings the same ruthless attitude to her love life as to business. Being attacked in her home by an unknown assailant changes Michle's life forever. When she resolutely tracks the man down, they are both drawn into a curious and thrilling game-a game that may, at any moment, spiral out of control.",90,-17
84,Elstree 1976,NR,"Art House & International, Documentary",Jon Spira,,"David Prowse, Jeremy Bulloch, Angus MacInnes, Paul Blake, Anthony Forrest, Derek Lyons, Pam Rose, John Chapman, Garrick Hagon, Laurie Goode",5/6/2016,90,British Film Company,81,27,39,377,66,"Elstree 1976  explores the lives of the actors and extras behind one of the most celebrated science fiction films in cinematic history: Star Wars. A captivating look at the unheralded stars of George Lucass original film - from the man behind films most iconic villain, to the actor whose character was completely cut from the final film - the documentary delves into the eccentric community these individuals have formed and how the Star Wars franchise  which spans five decades from A New Hope to The Force Awakens   continues to impact their lives decades later. [FilmRise]",73.5,-34.5
85,Elvis & Nixon,R,Comedy,Liza Johnson,"Joey Sagal, Hanala Sagal, Cary Elwes","Michael Shannon, Kevin Spacey, Alex Pettyfer, Johnny Knoxville, Colin Hanks, Evan Peters, Sky Ferreira, Tracy Letts, Tate Donovan, Ashley Benson, Dylan Penn, Ritchie Montgomery, Ahna OReilly, Kamal Angelo Bolden, Ian Hoch, Nathalie Love, Atlanta de Cadenet, Skye ForsythPeters, Poppy Delevingne, Joey Sagal, Marcus Lyle Brown, Anthony Marble, Hanala Sagal, Kevin Lucky Johnson, Harold Evans, Brandy Carter, Katie Corwin, Geraldine Singer, Vivian Winther, Danny McCarthy, Gary Roberson",4/22/2016,86,Amazon Studios,77,153,57,6029,59,"On a December morning in 1970, the King of Rock n Roll, Elvis Presley (Michael Shannon) showed up on the lawn of the White House to request a meeting with the most powerful man in the world, President Nixon (Kevin Spacey). This is the untold true story behind this revealing, yet humorous moment in the Oval Office forever immortalized in the most requested photograph in the National Archives.",68,-11
86,Emelie,NR,Mystery & Suspense,Michael Thelin,Rich Herbeck,"Sarah Bolger, Joshua Rush, Carly Adams, Thomas Bair, Susan Pourfar, Chris Beetem, Elizabeth Jayne, Dant Hoagland, Randi Langdon, Robert Bozek, Dant Hoagland, Hilary Walker, Annette Christian, Sara KowFalcone, Daniel James, Michael Joseph Dugan, Brian Mysliwy, Carl Bailey, Chris Srock, Eric Witowski, Frank Rossi, Abigail Mary, Addison Pollutro, Aisha Oliver, Andriana Buttitta, Antoine Lanier, Aryn Fitzgerald, Benjamin Pollutro",3/4/2016,86,Uncorked Productions,88,34,41,1590,62,"As their parents head out for a date in the city, the three young Thompson children  Jacob, Christopher, and Sally  immediately take to their new babysitter Anna (Sarah Bolger), who seems like a dream come true: shes sweet, fun, and lets them do things that break all of their parents rules. But as the night creeps along and Annas interactions with them take on a more sinister tone, the kids slowly realize that their caretaker may not be who she claims to be. Soon its up to big brother Jacob to protect his siblings from the increasingly nefarious intentions of a very disturbed woman whose weapon is trust, and whose target is innocence. [Dark Sky Films]",75,-34
88,Equity,R,Drama,Meera Menon,"Amy Fox, Alysia Reiner, Sarah Megan Thomas","Anna Gunn, James Purefoy, Sarah Megan Thomas, Alysia Reiner, Craig Bierko, Samuel Roukin, David Alan Basche, Nathan Corddry, Lee Tergesen, Sarah Thomas, Nick Gehlfuss, Carrie Preston, Tracie Thoms, Roe Hartrampf, James Naughton, Kyle Beltran, Joseph Siravo, Sophie Von Haselberg, Margaret Colin, Olivia Parrish, Meghan Rafferty",7/29/2016,100,Broad Street Pictures,82,99,52,4804,68,"When Senior investment banker Naomi Bishop (Anna Gunn) is passed over for a promotion at her firm, she fights for the opportunity to take a start-up public, hoping this promising IPO will secure her a place at the firms highest level. But when an employee at the start-up raises questions about a possible crack in the companys walls, Naomi must decide whether to investigate rumors that may compromise the deal, or push forward with the confidence her superiors expect. [Sony Pictures Classics]",75,-23
89,Eva Hesse,NR,Documentary,Marcie Begleiter,,"Selma Blair, Bob Balaban, Patrick Kennedy, Helen Hesse Charash, Tom Doyle, Lucy Lippard, Sol Lewitt, Carl Andre, Dan Graham, Richard Serra, Robert Mangold, Sylvia Plimack Mangold, Mike Todd, Rosie Goldman, Barbara Brown, Gioia Timpanelli, Grace Wapner, Ethelyn Honig",4/27/2016,105,,80,20,64,180,69,"Documentary feature film focusing on the life and times of Eva Hesse, a ground-breaking artist who was active in New York and Germany in the 1960's.",74.5,-10.5
90,Everybody Wants Some!!,R,Comedy,Richard Linklater,Richard Linklater,"Blake Jenner, Tyler Hoechlin, Wyatt Russell, Ryan Guzman, Zoey Deutch, Will Brittain, Glen Powell, J Quinton Johnson, Austin Amelio, Forrest Vickery, Temple Baker, Tanner Kalina, Juston Street, Dora Madison, Holly Jee, Jonathan Breck, Adrienne Mishler, Sophia Ali, Jenna Saab, Courtney Tailor, Tory Taranova, Jessi Mechler, Paula Marcenaro Solinger, Taylor Ashley Murphy, Sadie Brook, Christina Burdette, Vanessa Amaya, Laura Ritz, Kyla Burke, Jason Liebrecht, James Ernest Davis, Chelsey Gentry, Caitlyn Moore, Deborah Alcorn, Brian Bogart, Lorelei Supapo, Carley Deardorff, Tess Cline, Michael Monsour, Asjha Cooper, Anna Vanston, Liza Wilk, Lizzy Pop, Alexandra Conroy, Dennis Alcorn, Alexandria Payne, Bonnie Gayle, Sarah Nouri, Celina Chapin, Stan Taylor, Emily Deaver, Kevin Patrick Connors, Zoey Brooks, Alan Zaizar, Alan Zalzar, Alexa Staudt, Samantha Frank, Cecilia L Salinas, Kaleb King, Devin Bonnee, Diane Selken, Justin Alexio, Emily Mason, Olivia Jordan, Beau Smith, Blaire Clause, Amanda Hunt, Rene Rhi, Dane Jensen, Haley Permenter, Ty Suite, Jack McConnell, Ryan Scharfenberg, Ryan Pearsall, Leslie Powell, Chris Cude, Abby Glantz, Rebekah Herzberg, Matt Blackwell, Julie CudeEaton, Valeria Dominguez, Maria Engler, Kelsey ODell, Lynden Orr, Christopher Sullivan, Angela SimmonsMorgan, Nicholas Marino, Shallaun Manning, Shailaun Manning, Erica Buitron, Kyle Sheldon, Emily Ax, Jeremy Abdo, Dagny Paige, Zach Denny, Sarah Jacober, Lynzy Lab, Sara Jane Ragnarok, Michael Koester, Elise Raney, Ally Gutierrez",4/8/2016,116,Paramount Pictures,87,240,68,15605,85,"Set in the world of 1980s college life, Everybody Wants Some follows a group of college baseball players as they navigate their way through the freedoms and responsibilities of unsupervised adulthood. Get ready for the best weekend ever.",86,-18
91,Evolution,NR,"Art House & International, Drama",Lucile Hadzihalilovic,"Lucile Hadzihalilovic, Alant?? Kava??t??","Max Brebant, JulieMarie Parmentier, Roxane Duran, Nathalie Le Gosles, Nissim Renard, Grgory Mathieu",11/25/2016,81,Les Films du Worso,83,63,44,2500,77,"Ten-year-old Nicolas (Max Brebant) lives in a remote seaside village populated only by boys his age and adult women. But when he makes a disturbing discovery beneath the ocean wavesa dead boy with a red starfish on his stomachNicolas begins to question everything about his existence. What are the half-remembered images he recalls, as if from another life? If the woman he lives with is not his mother, then who is she? And what awaits the boys when they are all suddenly confined to a hospital? [IFC Films]",80,-36
92,Fantastic Beasts and Where to Find Them,PG-13,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",David Yates (II),J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler, Colin Farrell, Samantha Morton, Ezra Miller, Jon Voight, Carmen Ejogo, Ron Perlman, Sam Redford, Tristan Tait, Tom ClarkeHill, Mathew Sim, Faith WoodBlagrove, Jenn Murray, Corey Peterson, Lucie Pohl, Peter Breitmayer, Jake Samuels, Max Cazier, Dan Hedaya, Christy Meyers, Christy Meyer, Guy Paul, Andreea Paduraru, Walles Hamonde, Dominique Tipper, Kevin Guthrie, Leo Heller, Miles Roughley, Anne Wittman, Erick Hayden, Paul Birchard, Ronan Raftery, Tom Hodgkins, Josh Cowdery, Ellie Haddington, Joseph Macnab, Bart Edwards, Todd Boyce, Martin Oelbermann, Gemma Chan, Richard Clothier, Christian Dixon, Akin Gazi, Rich Hardisty, Elizabeth Moynihan, Miquel Brown, Wunmi Mosaku, Cristian Solimeno, Matthew Wilson, Brian Mulvey, Aretha Ayeh Emmi, Nick McGaughey, Sean Cronin, Zo Kravitz, Arinz Kene, Jane Perry, Collin Farrell, Scott Goldman, Tim Bentinck",11/18/2016,127,Warner Bros. Pictures,74,338,79,87980,66,"It's 1926 and Newt Scamander has just completed a global excursion to find and document an extraordinary array of magical creatures. Arriving in New York for a brief stopover, he might have come and gone without incident were it not for a No-Maj (American for Muggle) named Jacob, a misplaced magical case, and the escape of some of Newts fantastic beasts, which could spell trouble for both the wizarding and No-Maj worlds.",70,9
93,Fastball,NR,Documentary,Jonathan Hock,Jonathan Hock,"Kevin Costner, Hank Aaron, Nolan Ryan, Derek Jeter, Goose Gossage, Pat Gillick, Mike Schmidt, Chris Cooper, Bob Gibson, Ernie Banks, Johnny Bench, George Brett, Justin Verlander, Bob Feller, Tony Gwynn, Doug Harvey, Sandy Koufax, Walter Johnson, Joe Morgan, Steve Dalkowski, Aroldis Chapman, Craig Kimbrel, David Price",3/25/2016,87,Gravitas Ventures,90,20,79,617,74,"The essence of baseball is the primal battle between the pitcher and batter, but the magic of the game arises from that confrontation, only 396 milliseconds in the making. The mysteries and memories of baseball's greatest heroes are revealed in Fastball, featuring interviews with dozens of former players, from legendary Hall of Famers to current All-Stars.",82,-3
94,Fences,PG-13,Drama,Denzel Washington,August Wilson,"Denzel Washington, Viola Davis, Stephen McKinley Henderson, Mykelti Williamson, Russell Hornsby, Jovan Adepo, Christopher Mele, Lesley Boone, Jason Silvis, Toussaint Raphael Abessolo, Theresa Cook, Dontez James, Malik Abdul Khaaliq, Aristle Jones, IV, TraWaan Coles, Chris McCail, Kameron Peters, Joshua Tronoski",12/25/2016,133,Paramount Pictures,92,265,75,36228,79,"In this adaptation of August Wilson's Pulitzer Prize and Tony Award-winning play, an African American father struggles with race relations in the United States while trying to raise his family in the 1950s and coming to terms with the events of his life.",85.5,-10.5
95,Fifty Shades of Black,R,Comedy,Michael Tiddes,"Marlon Wayans, Rick Alvarez","Marlon Wayans, Kali Hawk, Mike Epps, Andrew Bachelor, Affion Crockett, Jane Seymour, Fred Willard, Florence Henderson, Karli Karissa, Alice Rietveld, Marissa DOnofrio, Katelyn Causey, Brad Schmidt, Stephen Todt, Megan Salmans, Chaunte Wayans, Jenny Zigrino, Bud Galloway, KT Wiegman, James McMann, Vincent Oshana, Johnny Meyer, Jordan Craig, Thomas James Kepner, Joey Romaine, Ken McGuire, Sydney Castillo, Irene Choi, DC Ervin, Damon Wayans",1/29/2016,92,Open Road Films,7,46,19,11154,28,A parody of the popular film/novel 50 Shades of Grey.,17.5,1.5
96,Finding Dory,PG,Animation,"Andrew Stanton, Angus MacLane","Andrew Stanton, Victoria Strouse","Ed ONeill, Dominic West, Andrew Stanton, Bennett Dammann, Bob Peterson, Torbin Xan Bullock, Bill Hader, Kate McKinnon, Sigourney Weaver, Alexander Gould, Katherine Ringgold, Lucia Geddes, John Ratzenberger, Angus MacLane, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Vicki Lewis, Jrme Ranft, Ellen DeGeneres, Albert Brooks, Diane Keaton, Kaitlin Olson, Hayden Rolence, Ty Burrell, Eugene Levy, Sloane Murray, Idris Elba",6/17/2016,103,Walt Disney Pictures/PIXAR,94,329,84,181985,77,"Finding Dory reunites the friendly-but-forgetful blue tang fish Dory, with her friends Nemo and Marlin on a search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?",85.5,-1.5
97,Five Nights in Maine,NR,Drama,Maris Curran,Maris Curran,"David Oyelowo, Dianne Wiest, Rosie Perez, Teyonah Parris, William Raymond, Hani Furstenberg, Neal Lerner, Youness Zakaria, Bobby Moreno, Graham Hults, Graham Hults",8/5/2016,84,Loveless Entertainment,28,29,30,128,45,"A young widower (David Oyelowo), reeling from the tragic loss of his wife, travels to rural Maine to seek answers from his cancer-stricken, estranged mother-in-law (Dianne Wiest).",36.5,-6.5
98,Florence Foster Jenkins,PG-13,"Comedy, Drama, Musical & Performing Arts",Stephen Frears,"Nicholas Martin, Stephen Frears, Nicholas Martin","Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson, Nina Arianda, Stanley Townsend, Alan Corduner, Allan Corduner, Christian McKay, David Haig, John Sessions, Brid Brennan, Mark Arnold, John Kavanagh, Pat Starr, Maggie Steed, Thelma Barlow, Liza Ross, Paola Dionisotti, Rhoda Lewis, Aida Garifullina, David Mills, David Menkin, Sid Phoenix, Tunji Kasim, Carl Davis, Lloyd Hutchinson, Josh OConnor, Stefan Bednarczyk, Nathan Osgood, Caolan Byrne, James Sobol Kelly, Dar Dash",8/12/2016,110,BBC Films,87,229,68,16893,71,"In 1940s New York, Florence Foster Jenkins (Meryl Streep), a New York heiress and socialite, obsessively pursued her dream of becoming a great singer. The voice she heard in her head was beautiful, but to everyone else it was hilariously awful. Her ""husband"" and manager, St. Clair Bayfield (Hugh Grant), an aristocratic English actor, was determined to protect his beloved Florence from the truth. But when Florence decided to give a public concert at Carnegie Hall, St. Clair knew he faced his greatest challenge.",79,-11
99,For the Love of Spock,NR,Documentary,Adam Nimoy,,"Leonard Nimoy, Zachary Quinto, William Shatner, Chris Pine, JJ Abrams, Jason Alexander, Mayim Bialik, Aaron Bay Schuck, Bobak Ferdowsi, Marty Dormany, Catherine Hicks, Jeffrey Katzenberg, James Duff, Walter Koenig, Amy Mainzer, DC Fontana, Scott Mantz, Nicholas Meyer, Barry Newman",9/9/2016,100,Gravitas Ventures,100,31,82,1661,74,"For the Love of Spock tells the life story of Star Treks Mr. Spock and the actor who played him, Leonard Nimoy, for nearly fifty years. The films focus began as a celebration of the fifty-year anniversary of Star Trek: The Original Series, but after Leonard passed away in February 2015, his son, director Adam Nimoy, was ready to tell another story: his personal experience growing up with Leonard and Spock. Adam not only shares details on the creation, evolution, and universal impact of Mr. Spock, but also about the ups and downs of being the son of a TV icon. For the Love of Spock is laden with never-before-seen footage and interviews of friends, family and colleagues that include William Shatner and the original Star Trek cast, Zachary Quinto and the new crew of the Starship Enterprise, the Big Bang Theory cast, filmmaker JJ Abrams and astrophysicist Neil deGrasse Tyson. [Gravitas Ventures]",87,-5
100,Forsaken,R,"Art House & International, Drama, Western",Jon Cassar,Brad Mirman,"Kiefer Sutherland, Donald Sutherland, Demi Moore, Brian Cox, Michael Wincott, Aaron Poole, Landon Liboiron, Michael Therriault, Siobhan Williams, Esther PurvesSmith, Lex Cassar, Graeme Black, David Trimble, Joe Norman Shaw, Chris Ippolito, Dylan Smith, Michael Mitchell, Justin Michael Carriere, Wesley Morgan, Christopher Rosamund, David McNally, Christopher Rosamond, Greg Ellis, Donovan Workun, Paul Sillito, Ali Webb, Kira Bradley, Don Bland, Cliff Liknes, Brock Morgan, Cliff Likness, Tom Carey, Christopher Austman, Colin Campbell",2/19/2016,90,Momentum Pictures,42,45,87,4208,55,"In 1872, John Henry Clayton (Kiefer Sutherland) retires as a gunfighter and returns to his hometown of Fowler, Wyoming in hope of repairing his relationship with his estranged father, Reverend Clayton (Donald Sutherland).  However, he soon learns that the town is in turmoil, as the railroad will be coming through the area and a criminal gang is terrorizing ranchers who refuse to sell their land.  John Henry is the only one who can stop them, but his father does not want his son to return to a life of violence.",48.5,38.5
101,Francofonia,NR,Documentary,Aleksandr Sokurov,"Aleksandr Sokurov, Aleksandr Sokurov","LouisDo de Lencquesaing, Benjamin Utzerath, Vincent Nemeth, Johanna Korthals Altes, Andrey Chelpanov, Aleksandr Sokurov, Peter Lontzek, JeanClaude Car, Aleksandr Sokurov, Franois Smesny, Peter Lontzek",4/1/2016,87,Id??ale Audience,87,75,46,1071,71,"A portrait of the Louvre transforms into a magisterial, centuries-spanning reflection on the relation between art, culture and power.",79,-33
102,Frank & Lola,NR,Mystery & Suspense,"Matthew M. Ross, Matthew Ross","Matthew M. Ross, Matthew Ross","Michael Shannon, Imogen Poots, Michael Nyqvist, Justin Long, Emmanuelle Devos, Rosanna Arquette, Suteara Vaughn, Alex Lombard, Sara Verhagen, Amy Argyle, Joel Virgel, Landa Morland, David Atrakchi, Laine Rettmer, Stella Schnabel, Carlos Moreno Jr, Maynor Alvarado, Elisha Yaffe, Dorcas Coppin, Joey Bell, Alexander Garganera, Sophie Meister, Ismael Sy Savane, Patrick Rocca, Steven Krasner, Narcisse Mame, Jerica Barnes",12/9/2016,88,Parts and Labor,69,42,42,2390,56,"Frank (Michael Shannon) is a brooding, staunch Las Vegas chef who always focused his energy into his culinary talents  until he meets Lola (Imogen Poots), a young and beautiful enigma. Together, Frank and Lola build an intense relationship that saves each other from their mutual despair. Cracks begin to show after Lola suddenly cheats on Frank, which leads to Franks evolving mistrust of Lola and a growing obsession with an imposing man from her past. As Frank is given the chance to cook for a famed Parisian restaurateur, he is overcome by extreme thoughts of betrayal, causing him to seek revenge and answers. But what he learns about Lola is not black and white, and trust gives way to a web of deceit.",62.5,-20.5
103,Free State of Jones,R,"Action & Adventure, Drama",Gary Ross,Gary Ross,"Matthew McConaughey, Gugu MbathaRaw, Keri Russell, Mahershala Ali, Jacob Lofland, Sean Bridgers, Jessica Collins, Liza J Bennett, Christopher Berry, Wayne Pre, Thomas Francis Murphy, Bill Tangradi, Brian Lee Franklin, Kerry Cahill, Joe Chrest, Donald Watkins, Jill Jane Clements, Dane Rhodes, Lawrence Turner, Troy Hogan, Greg Kennedy, Charlie Anderson, Cade Mansfield Cooksey, Dave Jensen, Bill Martin Williams, John P Fertitta, Jim Kelly, Rhonda Dents, David Maldonado, Jane McNeil, John Neisler, Sharon Landry, Mary Elizabeth Ellis, Kurt Krause, Andrew Petrotta, Joseph Hosey, Henry Frost, PJ Marshall, Lucy Faust, Lara Grice, Johnny McPhail, Kylen Davis, Lajessie Smith, Kesha Bullard, Jackson Beals, Sam Malone, William Mark McCullough, Garrett Kruithof, Martin Bradford, Jaren Mitchell, Martin Bats Bradford, Jim Klock, Will Beinbrink, Stella Allen, Camden Flowers, Carsen Flowers, Jason Ament, Kirk Bovill, Matthew Lintz, Mattie Liptak, Trace Masters, Samantha Hopkins, Joe Girard, Brandon Hartley, Ann Hamilton, Ethan Lee, Paul Alan Webb, Pine Purvis, Victoria Bynum, Manny Penton, Franny Levenstein, Monique Bilbo, Shelby Sanders, Melanie Hebert, Jackson Lee Brockton, James G Hanifen, Julia Holt",6/24/2016,139,STX Entertainment,47,187,64,20821,53,"Set during the Civil War, Free State of Jones tells the story of defiant Southern farmer, Newt Knight, and his extraordinary armed rebellion against the Confederacy. Banding together with other small farmers and local slaves, Knight launched an uprising that led Jones County, Mississippi to secede from the Confederacy, creating a Free State of Jones. Knight continued his struggle into Reconstruction, distinguishing him as a compelling, if controversial, figure of defiance long beyond the War.",50,14
104,Front Cover,NR,Comedy,Ray Yeung,Ray Yeung,"Jake Choi, James Chen, Elizabeth Sung, Jennifer Neala Page, Sonia Villani, Ming Lee, Li Jun Li, Rachel Lu, Wayne Chang, Scott Chan, Shenell Edmonds, Tom Ligon",8/5/2016,87,NewVoice Production,83,12,50,254,52,"Ryan (Jake Choi) is a handsome fashion stylist living in New York City who rejects his traditional Asian upbringing in favor of enjoying his life as openly gay. However that all changes when Ryan is assigned to style Ning (James Chen), a famous Chinese actor, for an important photo shoot for his firm. Despite a rocky start, an unlikely romance develops between the two, leading Ryan to re-examine his roots and consider an enticing new path for his career. [Strand Releasing]",67.5,-17.5
105,Genius,PG-13,Drama,Michael Grandage,John Logan,"Colin Firth, Jude Law, Nicole Kidman, Laura Linney, Guy Pearce, Dominic West, Vanessa Kirby, Julia Wolfe, Demetri Goritsas, Mark Arnold, Angela Ashton, Eve Bracken, Katya Watson, Lorna Doherty, Makenna McBrierty, Miquel Brown, Corey Johnson, Lucy Briers, Harry Attwell, Ray StrasserKing, David Altaner, Katherine Kingsley, Rosy Benjamin, Madeline Rice, Ian Drysdale, Charles Dinsdale, Richard Dempsey, Erick Hayden, Cassandra Nina, Ken Hazeldine, Andrew Byron, Oliver King, Jane Perry, Alex Large, Charlotte Longfield, Trina Dillon, Nick Mercer, Gary Thomsett, Elaine Caulfield, Kim Rosenfeld, James Wallace, Mark Philimore, James Bierman, Richard Clark, Stella McCabe, Christopher Oram, Mike Vessey, Alistair Sanderson, Alex Scrivens, Pamela Okoroafor, Kenji Fenton, Neville Malcolm, Winston Rollins, Chris Storr, Frank Tontoh, Jamal Crawford, Kemi Durosinmi, Jo Dyce, Kevin Ketti, Lesley MutomboAgbepa, Joshua Robinson",6/10/2016,NA,Riverstone Pictures,53,109,46,2890,56,A chronicle of the complex friendship and transformative professional relationship between the world-renowned book editor Maxwell Perkins (Colin Firth) and the larger-than-life literary giant Thomas Wolfe (Jude Law).,54.5,-8.5
106,Get a Job,R,Comedy,"Dylan Kidd, Brian Kohne","Kyle Pennekamp, Scott Turpel","Miles Teller, Anna Kendrick, Bryan Cranston, Nicholas Braun, Brandon T Jackson, Christopher MintzPlasse, Bruce Davison, Alison Brie, Marcia Gay Harden, Ravi Patel, Jorge Garcia, Megan Gallagher, Jay Pharoah, Mimi Gianopulos, Ethan Dizon, Greg Germann, John C McGinley, Aaron Hill, Chester Tam, Michael C Mahon, Seth Morris, David Carey Foster, Marc Maron, Jeryl Prescott, Jackie Benoit, John Cho, Cameron Richardson, Murray Gershenz, Jamie Denbo, Nik Tyler, Michael Mantell, Jack Knight, Sean OBryan, Maximiliano Hernandez, Tara Inden",3/25/2016,83,Double Feature Films,5,22,21,5270,31,"Life after college graduation is not exactly going as planned for Will (Miles Teller) and Jillian (Anna Kendrick) who find themselves lost in a sea of increasingly strange jobs. But with help from their family, friends and coworkers they soon discover that the most important (and hilarious) adventures are the ones that we don't see coming.",18,3
107,Ghostbusters,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",,,"Leslie Jones, John Milhiser, Ben Harris, Bess Rous, Neil Casey, Daniel Ramis, Jaime Pacheco, Dan Teicher, Davey Jones, Matteo Borghese, Cheryl Wills, Adam Ray, Robin Shelby, Rosanna Scotto, Greg Kelly, Johnny Higgins",7/15/2016,117,Sony Pictures,74,384,50,119730,60,"Thirty years after the original film took the world by storm, Ghostbusters is back and fully rebooted for a new generation. Director Paul Feig combines all the paranormal fighting elements that made the original franchise so beloved with a cast of new characters, played by the funniest actors working today.",67,-17
108,Gimme Danger,R,Documentary,Jim Jarmusch,Jim Jarmusch,"Iggy Pop, Ron Asheton, Scott Asheton, James Williamson, Danny Fields, Jim Osterberg, Mike Watt, Kathy Asheton",10/28/2016,108,Low Mind Films,94,109,70,2195,72,"Emerging from Ann Arbor Michigan amidst a countercultural revolution, The Stooges powerful and aggressive style of rock-n-roll blew a crater in the musical landscape of the late 1960s.  Assaulting audiences with a blend of rock, blues, R&B, and free jazz, the band planted the seeds for what would be called punk and alternative rock in the decades that followed.  Jim Jarmuschs Gimme Danger chronicles the story of The Stooges, one of the greatest rock-n-roll bands of all time, presenting the context of the Stooges emergence musically, culturally, politically, historically, and relating their adventures and misadventures while charting their inspirations and the reasons behind their initial commercial challenges, as well as their long-lasting legacy.",83,-13
109,Glassland,NR,Drama,Gerard Barrett,,,2/12/2016,89,Element Pictures,84,50,44,2328,66,"John (Jack Reynor) lives with his mother, Jean (Toni Collette), in a social housing suburb and ekes out a meager living as a nocturnal taxi driver. John returns home one morning to find his mother unconscious from an alcohol overdose  this was not the first time.  Jean violently rejects Johns attempts to help as well as his intentions to unite the family.  When Jean is offered an opportunity to recover, and with no savings or insurance, John is forced to offer his services to a petty criminal to help pay for his mothers costly rehab program.   John is subsequently faced with a life-changing task that may alter him and his family's lives forever. [Kaleidoscope Film Distribution]",75,-31
110,Gleason,R,Documentary,Clay Tweel,,"Steve Gleason, Michel Varisco, Scott Fujita, Drew Brees, Mike McCready, Rivers Gleason, Mike Gleason, Mike McKenzie, Paul Varisco, Jr, Vinnie Varisco, Ryan Gootee, Brendan Weber, Kyle Gleason, Jill Varisco, Kevin Dedmon",7/29/2016,111,Dear Rivers Production,96,69,90,3891,80,"At the age of 34, former New Orleans Saints defensive back Steve Gleason was diagnosed with ALS and given a life expectancy of two to five years. Weeks later, Gleason found out his wife, Michel, was expecting their first child. A video journal that began as a gift for his unborn son expands to chronicle Steves determination to get his relationships in order, build a foundation to provide other ALS patients with purpose, and adapt to his declining physical conditionutilizing medical technologies that offer the means to live as fully as possible.",88,2
111,Goat,R,Drama,Andrew Neel,"Andrew Neel, David Gordon Green, Mike Roberts (XXXVI)","Ben Schnetzer, Nick Jonas, James Franco, Gus Halper, Virginia Gardner, Jake Picking, Danny Flaherty, Austin Lyon, Brock Yurich, Broch Yurich, Will Pullen, Eric Staves, Jamar Jackson, Kevin Crowley, Lauren Knutson, Jon Osbeck, Denise Dal Vera, Pepper Sweeney, Denise DelVera, Clare Combest, Claire Combest, Nick Rose, Annie Grove, Caleb Farley, Daniel Grey, Cody Roberts, Trever Turner, Brennan Horine, William Pullen",9/23/2016,96,Killer Films,79,76,44,4012,64,"Reeling from a terrifying assault over the summer, 19-year-old Brad Land (Ben Schnetzer) starts college determined to get his life back to normal. His brother, Brett (Nick Jonas), is already established on campus and with a fraternity that allures Brad with its promise of protection, popularity, and life-long friendships. Brad is desperate to belong but as he sets out to join the fraternity his brother exhibits reservations, a sentiment that threatens to divide them. As the pledging ritual moves into hell week, a rite that promises to usher these unproven boys into manhood, the stakes violently increase with a series of torturous and humiliating events.  What occurs in the name of brotherhood tests both boys and their relationship in brutal ways.",71.5,-27.5
