,movie_title,content_rating,genres,directors,authors,actors,original_release_date,runtime,production_company,tomatometer_rating,tomatometer_count,audience_rating,audience_count,meta_score,summary,combo_score,rating_diff
11,Abattoir,R,Horror,Darren Lynn Bousman,Christopher Monfette,"Jessica Lowndes, Joe Anderson VI, Lin Shaye, Dayton Callie, Michael Par, Bryan Batt, Cornell John, Aiden Flowers, Jay Huguley, J LaRose, Jay Huguely, Thomas Francis Murphy, Terence Rosemore, Brian Oerly, Terrence Rosemore, Cary Alexander, Carl Palmer, John McConnell, Jackie Tuttle, Carol Sutton, Josh Berger, Becki Davis, Allison Gobuzzi, Taryn Terrell, Emily Thomas, Aaron Jay Rome, Brielyn Sexeny, Leigh Hennessy, Daniel Norris, Devin McCoy, Willie Weber, Ashly VanEarl, Kelly Connolly, Chris Bryant",12/9/2016,98,Dark Web Productions,38,21,29,445,40,"An investigative reporter works to solve the mystery behind a mysterious man who has been buying houses where tragedies have occurred. Set in a world where it always feels like night, even in daylight hours, real estate reporter Julia Talbens life is turned upside down when her family is brutally murdered. It is believed to be an open and close case, but Julia quickly realizes there is much more to this story when she returns to the crime scene to find the murder room deconstructed and physically removed from her sisters home. This ignites an investigative pursuit that eventually leads her and ex-lover Detective Declan Grady to the town of New English where they find the enigmatic Jebediah Crone and the Abattoir - a monstrous house stitched together with unending rooms of death and the damned.  Julia comes to realize that her sisters soul is trapped inside, but the Abattoir isnt just a house - its a door to something more evil than anyone could have ever imagined. Julia and Grady are ultimately faced with the question: How do you build a haunted house? One room at a time.",39,-10
12,Absolutely Fabulous: The Movie,R,Comedy,Mandie Fletcher,Jennifer Saunders,"Jennifer Saunders, Kim Kardashian West, Joanna Lumley, Julia Sawalha, Jane Horrocks, June Whitfield, Chris Colfer, Kathy Burke, Kate Moss, Lulu, Emma Bunton, Jon Hamm, Joan Collins, Stella McCartney, Robert Webb, Barry Humphries, Dawn French, Indeyarna DonaldsonHolness, Mo Gaffney, Mark Gatiss, Nick Mohammed, Gwendoline Christie, Christopher Ryan, Graham Norton, Celia Imrie, Beattie Edmondson, Suki Waterhouse, Lily Cole, Jourdan Dunn, Alexa Chung, Daisy Lowe, Lara Stone, Nick Grimshaw, Richard Arnold, Alex Jones, Miquita Oliver, Alesha Dixon",7/22/2016,86,DJ Films,58,151,41,7570,59,"Edina and Patsy are still oozing glitz and glamor, living the high life they are accustomed to; shopping, drinking and clubbing their way around London's trendiest hot-spots. Blamed for a major incident at an uber fashionable launch party, they become entangled in a media storm and are relentlessly pursued by the paparazzi. Fleeing penniless to the glamorous playground of the super-rich, the French Riviera, they hatch a plan to make their escape permanent and live the high life forever more!",58.5,-17.5
13,Alice Through the Looking Glass,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",James Bobin,Linda Woolverton,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Rhys Ifans, Matt Lucas, Ed Speleers, Alan Rickman, Sacha Baron Cohen, Frances de la Tour, Lindsay Duncan, Stephen Fry, Matt Vogel, Timothy Spall, Barbara Windsor, Leo Bill, Geraldine James, Andrew Scott, Michael Sheen, Richard Armitage, Wally Wingert, Paul Hunter, Meera Syal, Hattie Morahan, Louis Ashbourne Serkis, Joanna Bobin, Louis Serkis, Amelia Crouch, Leilah de Meza, Simone Kirby, Joe Hurst, Siobhan Redmond, Oliver Hawkes, Oliver Hawkes, Frederick Warder, Eve Hedderwick Turner, Tom Godwin, Daniel HoffmannGill, Jamie Baughan, Matt Wilman, Siobhan McSweeney, Owain Rhys Davies, Edward Petherbridge, Richard Syms, Neil Edmond, Bill Thomas",5/27/2016,113,Walt Disney Pictures,29,254,48,37874,34,Alice (Mia Wasikowska) returns to the whimsical world of Underland and travels back in time to save the Mad Hatter (Johnny Depp).,31.5,16.5
14,All We Had,NR,Drama,Katie Holmes,"Josh Boone, Jill Killington","Katie Holmes, Stefania Owen, Luke Wilson, Richard Kind, Mark Consuelos, Eve Lindley, Odiseas Georgiadis, Judy Greer, Richard Petrocelli, Osh Ghanimah, Michael Cavadias, Tim Markham, Aly Brier, Lolita Foster, Randy Gonzalez, Milly Guzman, Siobhan Fallon Hogan, Amelie McKendry, Rahmel Long",12/9/2016,105,Jaro/Noelle Productions,40,25,47,229,48,"For fifteen-year-old Ruthie Carmichael (Stefania Owen) and her young mother, Rita (Katie Holmes), life has never been stable. Fleeing Ritas latest boyfriend, they find themselves living out of their beat-up car, and heading east in search of a better life. When money runs out and their car breaks down, they become stranded in a small town where Rita ultimately lands a steady job waitressing at Tinys, a local diner where they begin to develop a family: tender-hearted Marty, the owner of the diner, and Pam, a transgender waitress with big dreams who becomes Ruthies closest friend.",44,3
15,Allied,R,"Action & Adventure, Drama, Romance",Robert Zemeckis,Steven Knight,"Brad Pitt, Marion Cotillard, Lizzy Caplan, Jared Harris, Matthew Goode, Chris Reilly",11/23/2016,119,Paramount Pictures,60,253,63,25271,60,"Allied is the story of intelligence officer Max Vatan (Brad Pitt), who in 1942 North Africa encounters French Resistance fighter Marianne Beausejour (Marion Cotillard) on a deadly mission behind enemy lines. Reunited in London, their relationship is threatened by the extreme pressures of the war.",60,3
16,Almost Christmas,PG-13,Comedy,David E. Talbert,David E. Talbert,"Kimberly Elise, Omar Epps, John Michael Higgins, Danny Glover, Romany Malco, MoNique, JB Smoove, Nicole Ari Parker, Gabrielle Union, Jessie T Usher, DC Young Fly, Nadej K Bailey, Alkoya Brunson, Marley Taylor, Keri Hilson, Gladys Knight, Chloe Spencer, Gregory Alan Williams, Tara Batesole, Jeff Rose, Ric Reitz, Ravi Naidu, Stephen A Smith, Tara Jones, Monica Brown, Johnny Land, Teresa Sykes, Karl Bynes, Keon Mitchell, Rachel Kylian, A Sabrena Farmer, Elias Talbert, Lyn SissonTalbert, David E Talbert, Donnie Simpson",11/11/2016,112,Will Packer Productions,49,69,64,7744,55,"Almost Christmas tells the festive story of a beloved patriarch who asks his family for one gift this holiday season: to get along. If they can honor that wish and spend five days under the same roof without killing one another, it will be a Christmas miracle.",52,12
17,Always Shine,NR,"Drama, Mystery & Suspense",Sophia Takal,Lawrence Michael Levine,"Mackenzie Davis, Caitlin FitzGerald, Lawrence Michael Levine, Alexander Koch, Jane Adams, Khan Baykal, Michael Lowry, Colleen Camp, Julian Tolentino, Jason Foster, Stella Foster, Marisa Takal, Robert Longstreet, Simon Barrett, Jordan Kessler, Noah Gershman",11/25/2016,87,Little Teeth Pictures,92,49,52,680,72,"Two friends, both actresses (Mackenzie Davis & Caitlin FitzGerald), leave Los Angeles for Big Sur embarking on a weekend getaway to reconnect. Once alone, however, the two women's suppressed jealousies and deep-seated resentments bubble to the surface, causing them to lose grasp not just of the true nature of their relationship, but also of their own identities.",82,-30
18,American Honey,R,Drama,Andrea Arnold,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi, Arielle Holmes, Crystal Ice, Crystal B Ice, Shawna Rae Moseley, Verronikah Ezell, Chad McKenzie Cox, Garry Howell, Kenneth Kory Tucker, Raymond Coalson, Isaiah Stone, Dakota Powers, Christopher David Wright, Will Patton, Chad Cox",9/30/2016,162,Parts and Labor,79,211,63,8500,80,"Star (Sasha Lane), a teenage girl from a troubled home, runs away with a traveling sales crew who drive across the American Midwest selling magazine subscriptions door to door. Finding her feet in this gang of teenagers, one of whom is Jake (Shia LaBeouf), she soon gets into the group's lifestyle of hard-partying nights, law-bending days, and young love.",79.5,-16.5
19,American Pastoral,R,Drama,Ewan McGregor,John Romano,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert, Rupert Evans, David Strathairn, Uzo Aduba, Molly Parker, Valorie Curry, Hannah Nordberg, Julia Silverman, Mark Hildreth, Samantha Mathis, Ocean James, David Whalen, Corrie Danieley, David Case, Max Ivcic, Chuck Diamond, Tommy Lafitte, Peter Gannon, Brian Knoebel, Emily Peachey, Carter Ellis, Nick Marzock, Jennifer Vos, Idolo Zinobile, Davion Traylor, Chukky Okobi, Siovhan Christensen, Yannick Hogarth, Justin Lonesome, Steven Ravid, Ron Emanuel, Kathy Emanuel",10/21/2016,108,Lakeshore Entertainment,23,119,30,2597,43,"Seymour Swede Levov (Ewan McGregor), a once legendary high school athlete, is now a successful businessman married to Dawn (Jennifer Connelly), a former beauty queen. But turmoil brews beneath the polished veneer of Swedes life. When his beloved teenage daughter, Merry (Dakota Fanning), disappears after being accused of committing a violent act, Swede dedicates himself to finding her and reuniting his family. What he discovers shakes him to the core, forcing him to look beneath the surface and confront the chaos that is shaping the world around him.",33,-3
20,Anesthesia,R,Drama,Tim Blake Nelson,Tim Blake Nelson,"Glenn Close, K Todd Freeman, Kristen Stewart, Gretchen Mol, Jessica Hecht, Corey Stoll, Tim Blake Nelson, Gloria Reuben, Mickey Sumner, Yul Vzquez, Sam Waterston, Michael Kenneth Williams, Ivan Goris, Philip Ettinger, Natasha Gregson Wagner, Rob Morgan, Erica Cho, Jacqueline Baum, Ekaterina Samsonov, Hannah Marks, Ben Konigsberg, J Bernard Calloway, Cameron Taylor, Scott Cohen, Lee Wilkof, Julia Morrison, Katie Chang, Lisa Benavides, Patrick Kerr, Erika Rose, Annie Parisse, David Aaron Baker, Lisa BenavidesNelson, Richard Thomas, Cliff Moylan, Keith Randolph Smith, Denise Burse, Lucas Hedges, G Michelle Robinson, Derrick Baskin, John McNamara, Christopher McCann, Marcus Callender",1/8/2016,89,IFC Films,25,44,50,730,55,"A snowy New York City night, a beloved teacher, a shocking crime: this provocative drama pieces together the puzzle of a mans life just before it changes forever. While on his way home one evening, Walter Zarrow (Sam Waterston), a popular Columbia University philosophy professor, is violently attacked on the street. Flash back one week, as actor-director Tim Blake Nelson traces the domino effect of events that led up to this seemingly senseless assault. Along the way, hidden connections between a seemingly disparate group of peopleincluding a self-destructive student (Kristen Stewart), a hard-drinking suburban housewife (Gretchen Mol), and a desperate junkie (K. Todd Freeman)emerge, forming a complex, engrossing mosaic of lost souls united by tragedy. [IFC Films]",40,10
